Model,Level,Target,RMSE,MAE,Exact_Match_%,Weighted_Kappa
4a. CLOUD (Full),Item,Q7_Turning_in_Bed,0.3991700323264031,0.27552439490139435,80.119926199262,0.8307627395820055
4a. CLOUD (Full),Item,Q8_Walking,0.38449320758381833,0.22663146342946966,80.25830258302584,0.8170980599037933
4a. CLOUD (Full),Item,Q9_Climbing_Stairs,0.6177279102469335,0.3992496654850389,67.91974169741697,0.7650366589886866
4a. CLOUD (Full),Item,R_1_Dyspnea,0.4354974839923823,0.25392620942976263,81.50369003690037,0.7703628303861944
4a. CLOUD (Full),Item,R_2_Orthopnea,0.2769219462242354,0.11822942964701737,91.76660516605166,0.8259682736655583
4a. CLOUD (Full),Item,R_3_Respiratory_Insufficiency,0.15323797511991832,0.04052483052913532,97.55535055350553,0.906057421258881
4a. CLOUD (Full),Domain,Bulbar,0.6845247338302267,0.44207647808021855,,
4a. CLOUD (Full),Domain,Fine_Motor,0.5016078526257907,0.3582799425347522,,
4a. CLOUD (Full),Domain,Gross_Motor,0.9741138789804425,0.7310067398321606,,
4a. CLOUD (Full),Domain,Respiratory,0.48989569593307986,0.28194762717051786,,
4a. CLOUD (Full),Overall,Total Score,1.410349306355864,1.078561773037047,,
4b. CLOUD (3D),Item,Q1_Speech,0.35202755607021596,0.19752361885080968,83.92527675276753,0.859954544142622
4b. CLOUD (3D),Item,Q2_Salivation,0.38661945553003135,0.225337557022799,83.4409594095941,0.7984082831283905
4b. CLOUD (3D),Item,Q3_Swallowing,0.342986824530069,0.1880960527330325,87.01568265682657,0.8356211273664974
4b. CLOUD (3D),Item,Q4_Handwriting,0.3929941063047244,0.23948378438601356,82.44926199261992,0.8321805775829689
4b. CLOUD (3D),Item,Q5_Cutting,0.2971996707402655,0.1862972994610226,89.52952029520294,0.9230649619530862
4b. CLOUD (3D),Item,Q6_Dressing_and_Hygiene,0.35042149438971437,0.2385568397187211,85.10147601476015,0.871443794617581
4b. CLOUD (3D),Item,Q7_Turning_in_Bed,0.393453378854058,0.27146178937762133,80.65036900369003,0.835122322197997
4b. CLOUD (3D),Item,Q8_Walking,0.36692786275691713,0.21374105542639088,81.66512915129151,0.8306003224153895
4b. CLOUD (3D),Item,Q9_Climbing_Stairs,0.5937926299595453,0.3812104349092431,69.4880073800738,0.7787021474016153
4b. CLOUD (3D),Domain,Bulbar,0.6628999297604216,0.42693486274093956,,
4b. CLOUD (3D),Domain,Fine_Motor,0.5145770133789761,0.36856553378582874,,
4b. CLOUD (3D),Domain,Gross_Motor,0.9183884492819505,0.6883562365920045,,
4c. CLOUD (Diag),Item,Q1_Speech,0.3742337394386224,0.21389123450324746,82.01107011070111,0.8436452599856801
4c. CLOUD (Diag),Item,Q2_Salivation,0.3906744318381154,0.22897384595378653,83.0488929889299,0.7949887854941328
4c. CLOUD (Diag),Item,Q3_Swallowing,0.35097866009999096,0.19491427856858026,86.11623616236163,0.8249164367196214
